latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,source_dataset
7.43686,81.39532,337.73,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,307.01,4.3,D,VIIRS_SNPP_NRT
7.43925,81.32561,340.99,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,309.94,4.43,D,VIIRS_SNPP_NRT
7.45403,81.34198,340.72,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,308.95,4.67,D,VIIRS_SNPP_NRT
7.4743,81.05003,337.26,0.56,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,305.58,3.44,D,VIIRS_SNPP_NRT
7.48906,81.38728,338.59,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,306.08,3.0,D,VIIRS_SNPP_NRT
7.51956,81.30991,334.71,0.39,0.44,2026-08-30,826,N,VIIRS,l,2.0NRT,305.47,2.27,D,VIIRS_SNPP_NRT
7.61757,81.15485,356.38,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,313.13,15.47,D,VIIRS_SNPP_NRT
7.61807,81.15833,367.0,0.38,0.43,2026-08-30,826,N,VIIRS,h,2.0NRT,311.16,34.65,D,VIIRS_SNPP_NRT
7.62159,81.15429,335.61,0.38,0.43,2026-08-30,826,N,VIIRS,n,2.0NRT,306.78,15.47,D,VIIRS_SNPP_NRT
7.67645,81.44918,347.74,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,308.37,6.52,D,VIIRS_SNPP_NRT
7.69219,81.52925,336.39,0.41,0.45,2026-08-30,826,N,VIIRS,n,2.0NRT,305.85,2.33,D,VIIRS_SNPP_NRT
7.78376,81.21587,341.02,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,306.64,9.22,D,VIIRS_SNPP_NRT
7.78425,81.21941,334.77,0.39,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,303.53,7.08,D,VIIRS_SNPP_NRT
7.80813,81.45168,339.35,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,308.72,4.97,D,VIIRS_SNPP_NRT
7.80942,81.45202,342.3,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,308.39,4.33,D,VIIRS_SNPP_NRT
7.81643,81.36108,338.02,0.4,0.44,2026-08-30,826,N,VIIRS,l,2.0NRT,308.95,7.87,D,VIIRS_SNPP_NRT
7.87288,81.46512,336.09,0.4,0.45,2026-08-30,826,N,VIIRS,l,2.0NRT,308.48,4.66,D,VIIRS_SNPP_NRT
7.87428,81.41622,347.81,0.4,0.44,2026-08-30,826,N,VIIRS,n,2.0NRT,308.64,9.46,D,VIIRS_SNPP_NRT
8.60875,77.83811,330.12,0.41,0.37,2026-08-30,826,N,VIIRS,n,2.0NRT,284.72,2.3,D,VIIRS_SNPP_NRT
8.78732,78.01003,339.42,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,301.37,4.32,D,VIIRS_SNPP_NRT
8.80542,78.10815,335.36,0.42,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,296.09,2.62,D,VIIRS_SNPP_NRT
8.88687,77.78855,336.67,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,297.2,3.0,D,VIIRS_SNPP_NRT
8.91,77.59529,335.65,0.4,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.51,1.37,D,VIIRS_SNPP_NRT
8.93239,77.96133,333.2,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.5,2.9,D,VIIRS_SNPP_NRT
8.93294,77.9651,349.29,0.42,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,296.81,2.9,D,VIIRS_SNPP_NRT
9.11369,77.77237,334.29,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,298.66,1.37,D,VIIRS_SNPP_NRT
9.15121,78.32916,331.35,0.43,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,293.35,1.56,D,VIIRS_SNPP_NRT
9.32007,77.4914,333.17,0.4,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,290.35,2.53,D,VIIRS_SNPP_NRT
9.40266,80.43048,328.22,0.55,0.43,2026-08-30,828,N,VIIRS,n,2.0NRT,295.28,4.05,D,VIIRS_SNPP_NRT
9.42778,80.38101,331.15,0.55,0.42,2026-08-30,828,N,VIIRS,n,2.0NRT,292.84,1.83,D,VIIRS_SNPP_NRT
9.44417,77.66956,357.05,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,290.55,5.42,D,VIIRS_SNPP_NRT
9.44472,77.67329,339.12,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,287.31,5.42,D,VIIRS_SNPP_NRT
9.49209,77.66238,342.98,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,299.79,7.59,D,VIIRS_SNPP_NRT
9.51278,78.066,343.56,0.42,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,303.22,10.29,D,VIIRS_SNPP_NRT
9.82619,77.39869,331.44,0.4,0.37,2026-08-30,828,N,VIIRS,l,2.0NRT,303.27,1.05,D,VIIRS_SNPP_NRT
9.86126,78.18573,338.34,0.43,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,303.91,4.18,D,VIIRS_SNPP_NRT
9.87797,78.03197,336.6,0.42,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,294.37,1.97,D,VIIRS_SNPP_NRT
10.00316,76.4542,333.81,0.39,0.36,2026-08-30,828,N,VIIRS,n,2.0NRT,298.59,0.94,D,VIIRS_SNPP_NRT
11.80984,77.21425,335.6,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,301.41,61.33,D,VIIRS_SNPP_NRT
12.07999,76.99017,338.02,0.41,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,303.8,3.7,D,VIIRS_SNPP_NRT
12.48661,76.3177,336.89,0.39,0.37,2026-08-30,828,N,VIIRS,n,2.0NRT,298.79,3.61,D,VIIRS_SNPP_NRT
12.81456,78.60983,333.07,0.48,0.4,2026-08-30,828,N,VIIRS,n,2.0NRT,291.11,2.64,D,VIIRS_SNPP_NRT
13.9402,78.66064,331.18,0.5,0.41,2026-08-30,828,N,VIIRS,n,2.0NRT,299.53,2.81,D,VIIRS_SNPP_NRT
13.99587,79.86121,330.58,0.39,0.44,2026-08-30,828,N,VIIRS,n,2.0NRT,297.69,3.16,D,VIIRS_SNPP_NRT
14.18999,77.3446,342.86,0.43,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,298.23,3.06,D,VIIRS_SNPP_NRT
14.29174,77.98407,337.34,0.46,0.39,2026-08-30,828,N,VIIRS,n,2.0NRT,294.69,3.76,D,VIIRS_SNPP_NRT
14.3499,77.63499,335.71,0.45,0.39,2026-08-30,828,N,VIIRS,n,2.0NRT,300.01,3.47,D,VIIRS_SNPP_NRT
14.4991,79.69765,330.15,0.38,0.44,2026-08-30,828,N,VIIRS,n,2.0NRT,297.16,1.87,D,VIIRS_SNPP_NRT
14.50312,79.69711,336.85,0.38,0.44,2026-08-30,828,N,VIIRS,n,2.0NRT,296.91,1.54,D,VIIRS_SNPP_NRT
14.67836,76.89172,333.67,0.42,0.38,2026-08-30,828,N,VIIRS,n,2.0NRT,291.89,2.11,D,VIIRS_SNPP_NRT
14.69206,79.62556,331.61,0.38,0.43,2026-08-30,828,N,VIIRS,n,2.0NRT,295.71,2.12,D,VIIRS_SNPP_NRT
14.71446,79.98879,342.4,0.4,0.44,2026-08-30,828,N,VIIRS,n,2.0NRT,295.02,7.26,D,VIIRS_SNPP_NRT
14.84624,78.37249,332.45,0.49,0.4,2026-08-30,828,N,VIIRS,n,2.0NRT,299.84,2.01,D,VIIRS_SNPP_NRT
15.43925,77.664,333.31,0.46,0.39,2026-08-30,828,N,VIIRS,n,2.0NRT,291.37,2.43,D,VIIRS_SNPP_NRT
15.93384,79.5267,343.13,0.39,0.44,2026-08-30,828,N,VIIRS,n,2.0NRT,289.76,4.06,D,VIIRS_SNPP_NRT
19.7772,73.79005,333.97,0.39,0.36,2026-08-30,830,N,VIIRS,n,2.0NRT,293.26,2.03,D,VIIRS_SNPP_NRT
21.17639,74.58324,334.94,0.4,0.37,2026-08-30,830,N,VIIRS,n,2.0NRT,291.83,1.91,D,VIIRS_SNPP_NRT
30.02923,71.74337,332.13,0.39,0.36,2026-08-30,835,N,VIIRS,l,2.0NRT,304.36,0.57,D,VIIRS_SNPP_NRT
30.08648,71.7243,334.33,0.39,0.36,2026-08-30,835,N,VIIRS,n,2.0NRT,303.89,1.66,D,VIIRS_SNPP_NRT
30.11638,73.26059,335.4,0.42,0.38,2026-08-30,835,N,VIIRS,l,2.0NRT,305.78,3.03,D,VIIRS_SNPP_NRT
30.11697,73.26498,336.37,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,305.23,5.74,D,VIIRS_SNPP_NRT
30.16407,74.51582,331.57,0.47,0.4,2026-08-30,835,N,VIIRS,l,2.0NRT,302.09,3.35,D,VIIRS_SNPP_NRT
30.35123,73.65195,334.44,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,300.2,1.82,D,VIIRS_SNPP_NRT
30.51386,73.90864,335.57,0.45,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,299.41,2.87,D,VIIRS_SNPP_NRT
31.10913,74.49384,345.2,0.48,0.4,2026-08-30,835,N,VIIRS,n,2.0NRT,299.84,9.69,D,VIIRS_SNPP_NRT
31.12675,74.30208,342.96,0.47,0.4,2026-08-30,835,N,VIIRS,n,2.0NRT,300.91,4.14,D,VIIRS_SNPP_NRT
31.2082,73.91856,337.22,0.46,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,300.68,3.87,D,VIIRS_SNPP_NRT
31.2118,73.91795,331.16,0.46,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,299.86,2.3,D,VIIRS_SNPP_NRT
31.39489,72.12487,333.23,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,300.88,1.87,D,VIIRS_SNPP_NRT
31.4235,72.12935,331.22,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,300.79,3.19,D,VIIRS_SNPP_NRT
31.46879,72.1555,335.84,0.4,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,301.51,3.6,D,VIIRS_SNPP_NRT
31.56918,72.22474,334.87,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,302.29,2.25,D,VIIRS_SNPP_NRT
31.56943,72.27724,340.52,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,301.32,1.98,D,VIIRS_SNPP_NRT
31.58139,72.28816,337.8,0.41,0.37,2026-08-30,835,N,VIIRS,n,2.0NRT,299.58,2.12,D,VIIRS_SNPP_NRT
32.05318,73.38254,337.5,0.44,0.39,2026-08-30,835,N,VIIRS,n,2.0NRT,301.33,3.08,D,VIIRS_SNPP_NRT
32.09223,73.23719,330.89,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,299.99,2.2,D,VIIRS_SNPP_NRT
32.30693,73.28819,337.47,0.44,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,297.34,3.64,D,VIIRS_SNPP_NRT
32.8883,71.61584,331.99,0.4,0.37,2026-08-30,835,N,VIIRS,l,2.0NRT,303.18,1.77,D,VIIRS_SNPP_NRT
33.58202,69.2417,340.44,0.39,0.36,2026-08-30,835,N,VIIRS,l,2.0NRT,315.16,3.52,D,VIIRS_SNPP_NRT
33.84936,72.20547,340.8,0.42,0.38,2026-08-30,835,N,VIIRS,n,2.0NRT,297.4,3.38,D,VIIRS_SNPP_NRT
