latitude,longitude,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,daynight,source_dataset,frp,bright_ti4,confidence_val,is_night,firms_type,is_offshore,is_viiirs,is_modis,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_refinery_5km,has_powerplant_5km,has_factory_5km,has_volcano_10km,has_industrial_2km,count_ind_5km,count_ref_5km,cluster_id,final_class,classification,reason,nearest_site_type
6.74896,81.53299,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,306.47,D,VIIRS_SNPP_NRT,3.24,336.66,1,0,-1,0,1,0,727.1208833776606,699.6197219774946,684.7555700613477,2439.2833622669336,1160.9260446110022,673.5201884678179,999,0,0,0,0,0,0,0,3,unclassified,unclassified,No rule matched,industrial_zone
6.77788,81.78619,0.41,0.45,2026-08-30,826,N,VIIRS,0.3,2.0NRT,302.1,D,VIIRS_SNPP_NRT,4.91,338.04,1,0,-1,0,1,0,729.7449878597164,703.8933389509004,688.9089810357464,2442.625608400127,1157.6663446654145,677.2308405645356,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.7977,81.55489,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,305.52,D,VIIRS_SNPP_NRT,6.68,349.29,1,0,-1,0,1,0,722.2598790859313,694.9670237775733,680.0855182947591,2434.5543182996016,1155.4771974698906,668.7911069825499,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.81451,81.55614,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,305.15,D,VIIRS_SNPP_NRT,3.16,340.43,1,0,-1,0,1,0,720.4523428675902,693.1919448543867,678.3076435056391,2432.7657254832684,1153.6065805279475,667.0037887080829,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.81849,81.5262,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.18,D,VIIRS_SNPP_NRT,2.63,339.07,1,0,-1,0,1,0,719.3866685540278,691.941188861028,677.0715228782108,2431.583193573249,1153.205558828047,665.8185793167794,999,0,0,0,0,0,0,0,4,unclassified,unclassified,No rule matched,industrial_zone
6.863,81.43449,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,297.4,D,VIIRS_SNPP_NRT,3.02,332.96,1,0,-1,0,1,0,712.6701518713577,684.7010205913593,669.8741717434417,2424.480696773041,1148.4416901682202,658.7664770760555,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.89576,81.66621,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,301.71,D,VIIRS_SNPP_NRT,3.31,331.54,0,0,-1,0,1,0,714.0626750169478,687.6349896794198,672.6877926829288,2426.7747904679786,1144.4982265373433,661.1566090291044,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
6.96385,81.61536,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,304.75,D,VIIRS_SNPP_NRT,6.91,336.56,1,0,-1,0,1,0,705.4859125609853,678.8367550235699,663.904320559412,2418.106598545245,1136.9459200440515,652.4298722156592,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.01565,81.40194,0.39,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,303.03,D,VIIRS_SNPP_NRT,3.69,344.36,1,0,-1,0,1,0,695.3286815439471,667.3581425166808,652.5289559137004,2407.1332251939402,1131.5598023034577,641.4168409225937,999,0,0,0,0,0,0,0,-1,unclassified,unclassified,No rule matched,industrial_zone
7.01929,81.60059,0.4,0.44,2026-08-30,826,N,VIIRS,0.3,2.0NRT,302.79,D,VIIRS_SNPP_NRT,2.25,332.84,1,0,-1,0,1,0,699.117659571403,672.4605601353386,657.5278952473576,2411.7320105579493,1130.7919608798716,646.053693934283,999,0,0,0,0,0,0,0,5,unclassified,unclassified,No rule matched,industrial_zone
