cluster_id,centroid_lat,centroid_lon,detection_count,days_active,persistence_ratio,daily_detection_rate,frp_mean,frp_median,frp_max,frp_min,frp_std,frp_sum,bright_ti4_mean,bright_ti4_max,bright_ti4_std,night_fraction,high_conf_fraction,lat_range,lon_range,spatial_extent_km,nearest_site_type,nearest_site_type_encoded,dist_to_nearest_industrial_km,dist_refinery,dist_powerplant,dist_factory,dist_volcano,dist_oil_gas,dist_industrial_zone,dist_mining,has_industrial_within_2km,has_refinery_within_5km,has_powerplant_within_5km,has_volcano_within_10km,num_industrial_sites_within_5km,is_offshore,firms_type,firms_type_mode,classification,rule_confidence,rule_reason,ml_class,ml_confidence,final_class,confidence
-1148,7.65419,81.40054,1,1,0.3333333333333333,1.0,2.94,2.94,2.94,2.94,0.0,2.94,335.93,335.93,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,572.2142806878961,625.5284111664068,598.5431633003587,583.6240217793405,2337.948055321897,1060.587132111952,572.2142806878961,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1149,7.70496,81.42134,1,1,0.3333333333333333,1.0,6.93,6.93,6.93,6.93,0.0,6.93,340.73,340.73,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,567.291255741704,620.4483127187062,593.7073512638437,578.769438603968,2332.983946297522,1054.8823316891812,567.291255741704,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1150,7.73714,79.95287,1,1,0.3333333333333333,1.0,3.4,3.4,3.4,3.4,0.0,3.4,335.15,335.15,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,546.5644761187746,605.0809876379759,563.5851025455277,554.5134857703576,2296.8846394508323,1067.4345518825842,546.5644761187746,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.996,unclassified,0.3
-1151,7.73915,79.95213,1,1,0.3333333333333333,1.0,5.01,5.01,5.01,5.01,0.0,5.01,345.5,345.5,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,546.344203594186,604.8625553903343,563.3547042205952,554.2910309333862,2296.650487332953,1067.2284517307826,546.344203594186,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1152,7.8739,80.07893,1,1,0.3333333333333333,1.0,5.31,5.31,5.31,5.31,0.0,5.31,348.7,348.7,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,531.0105979264048,589.2407850655679,550.0185254863314,539.3048018456933,2284.329452638446,1050.1177967640726,531.0105979264048,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1153,7.87699,80.62096,1,1,0.3333333333333333,1.0,2.86,2.86,2.86,2.86,0.0,2.86,331.9,331.9,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,533.2027133272171,589.7317683799464,557.2910467872402,542.9393467346755,2295.2669711026874,1041.6966735893593,533.2027133272171,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1154,7.88657,80.13833,1,1,0.3333333333333333,1.0,7.77,7.77,7.77,7.77,0.0,7.77,345.81,345.81,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,529.5571576074951,587.6332785212568,549.4786831950343,538.0171713308548,2284.1126567995675,1047.6833805158533,529.5571576074951,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1155,7.88696,80.61943,1,1,0.3333333333333333,1.0,3.88,3.88,3.88,3.88,0.0,3.88,341.73,341.73,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,532.0829494369249,588.6146704873798,556.1699420253304,541.8185065590776,2294.147065931758,1040.6128239390148,532.0829494369249,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1156,7.92286,81.40872,1,1,0.3333333333333333,1.0,4.75,4.75,4.75,4.75,0.0,4.75,341.88,341.88,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,543.4790456682971,596.4425470027443,570.0153320027698,555.0513664779724,2309.0944231970725,1030.6988869926124,543.4790456682971,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,1.0,unclassified,0.3
-1157,7.95897,80.09814,1,1,0.3333333333333333,1.0,3.06,3.06,3.06,3.06,0.0,3.06,338.14,338.14,0.0,0.0,0.0,0.0,0.0,0.0,industrial_zone,4,521.5285108329341,579.7142588061346,540.907801752068,529.8772409845766,2275.3984286966183,1040.440590745937,521.5285108329341,999.0,0,0,0,0,0,0,-1,-1,unclassified,0.3,No rule matched,unclassified,0.999,unclassified,0.3
